Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
286.95,426.91,9.6,1.749,96,10,0,1,15,5,0,26,4,4,1,6,28,11,7,12,17,8,3,9,12,6,11,21,134,19,0,0,0,0,5,82,68,78,39,16,7,2,0,17,64,18,18,13,15,10,34,34,17,14,4,12,68,44,53,13,129,134,15,7,16,1,0,7,73,129,22,3,0,0,0,11,134,39,10,9,7,1,2,22,26,5,3,37,134,23,9,8,50,53,9,6,34,13,18,134,50,16,0,0,0,0,20,76,134,20,3,8,4,0,1,45,26,4,6,24,29,13,7,16,134,0,0,0,2,5,11,134
286.95,426.91,9.6,-1.447,1,3,6,142,142,3,0,0,23,11,5,14,31,4,6,23,5,0,1,41,126,23,2,7,0,0,16,72,50,19,0,0,23,13,17,142,88,31,7,3,142,27,10,10,18,6,3,27,11,1,1,14,142,46,7,10,0,0,0,8,64,126,25,4,15,1,0,11,98,142,27,6,88,41,44,9,15,20,5,12,13,12,39,36,69,19,12,10,9,2,0,12,51,65,40,20,0,0,1,62,142,44,0,0,9,6,12,23,26,14,2,6,22,10,10,12,4,4,2,6,19,8,1,16,67,10,0,2
214.24,420.14,10.65,1.821,14,4,0,1,1,1,3,10,139,13,0,0,0,0,1,71,141,9,0,0,0,0,1,121,22,0,0,0,0,0,0,30,12,17,2,7,23,6,4,2,120,141,4,0,0,0,1,26,141,131,0,0,0,0,0,29,38,6,0,0,0,0,0,2,9,3,0,6,23,7,8,37,65,21,1,0,0,0,31,141,141,19,0,0,0,0,25,141,27,1,0,0,0,0,0,13,72,1,1,2,1,1,1,53,141,0,0,0,0,0,4,141,20,0,0,0,0,0,7,83,0,0,0,0,0,0,0,2
214.24,420.14,10.65,1.276,115,33,0,0,0,0,0,11,148,124,1,0,0,0,0,13,40,62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,45,65,11,0,0,0,0,3,68,148,86,0,0,0,0,2,119,148,22,0,0,0,0,8,21,15,0,0,0,0,0,0,2,14,12,2,19,21,6,3,148,49,38,0,1,2,1,64,148,54,3,0,0,0,0,137,39,4,0,0,0,0,0,11,4,6,0,2,16,15,3,3,148,21,0,0,1,4,3,24,148,53,0,0,0,0,0,19,20,7,0,0,0,0,0,1
206.13,168.45,9.06,1.536,41,8,0,0,1,0,0,6,139,7,0,0,0,0,0,38,157,9,0,0,0,0,0,52,42,3,0,0,0,0,0,4,34,19,0,0,3,0,1,15,156,61,0,0,0,0,9,29,157,96,0,0,0,0,0,15,60,8,0,0,0,0,0,3,67,6,0,0,4,0,4,46,98,11,0,0,0,0,40,111,157,16,0,0,0,0,3,127,67,2,0,0,0,0,0,11,48,42,0,0,1,0,0,2,157,63,0,0,0,0,0,25,157,5,0,0,0,0,0,66,28,0,0,0,0,0,0,8
189.87,142.85,9.43,1.576,27,0,0,0,0,0,5,39,163,3,0,0,0,0,1,47,163,4,0,0,0,0,0,12,1,0,0,0,0,2,2,0,74,15,0,0,0,0,0,17,163,23,0,0,0,0,0,90,163,7,0,0,0,0,0,27,3,0,0,0,0,0,0,1,53,22,0,0,0,0,17,45,163,75,0,0,0,0,7,44,163,22,0,0,0,0,0,11,2,0,0,0,0,0,0,1,63,17,0,0,0,0,16,48,163,2,0,0,0,0,8,142,111,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0
303.85,328.65,8.08,1.56,55,90,12,17,13,3,0,10,32,41,11,63,43,7,0,1,94,74,6,11,5,0,1,11,44,26,24,28,5,2,6,12,104,15,5,16,17,5,0,68,50,38,13,88,99,11,0,10,122,82,12,42,46,2,0,19,23,28,85,87,57,1,2,6,122,7,1,10,24,8,1,33,59,7,2,37,122,40,4,31,122,32,18,36,97,12,1,63,84,17,8,45,122,6,3,14,97,11,1,13,34,4,2,30,36,4,1,40,80,12,6,31,51,20,38,49,37,16,3,34,51,8,11,35,25,1,25,63
230.77,180.43,7.49,1.125,20,45,4,0,0,1,0,0,29,53,26,0,0,0,1,5,81,142,15,0,0,0,2,4,110,142,0,0,0,0,0,0,13,15,6,0,4,9,0,2,75,21,16,0,0,0,14,68,103,48,3,0,0,1,61,78,142,100,0,0,0,0,1,26,13,6,1,1,23,24,0,1,119,92,2,0,0,1,2,18,69,97,27,0,0,1,14,19,142,129,2,0,0,0,0,6,3,5,1,0,16,18,0,0,15,58,8,2,4,5,0,1,9,128,48,0,0,0,0,0,88,142,6,0,0,0,0,0
215.92,483.03,9,1.568,9,1,0,1,16,11,8,19,144,1,0,0,0,0,5,144,108,0,0,0,0,0,9,144,14,0,0,0,0,0,0,16,45,5,2,8,4,3,4,13,144,22,0,0,0,0,0,114,144,10,0,0,0,0,0,60,1,0,0,0,0,0,0,1,42,18,7,8,4,0,0,6,144,134,0,0,0,0,0,47,144,56,0,0,0,0,0,25,1,0,0,0,0,0,0,0,48,9,7,12,6,0,0,16,144,14,0,0,0,0,0,140,98,4,0,0,0,0,0,52,0,0,1,1,0,0,0,0
188.12,91.25,8.12,1.53,51,22,0,0,0,0,1,13,181,45,0,0,0,0,0,45,131,10,0,0,0,0,1,15,0,0,0,0,0,2,4,0,55,15,0,0,0,0,4,25,181,38,0,0,0,0,0,41,181,8,0,0,0,0,1,24,0,0,0,0,0,3,4,0,30,0,0,1,0,1,14,39,181,38,0,0,0,0,3,29,181,20,0,0,0,0,0,7,0,0,0,0,0,1,2,0,37,4,1,4,1,0,2,19,181,9,0,0,0,0,0,83,131,9,0,0,0,0,0,20,3,2,0,0,0,0,0,1
