Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
191.63,281.1,20.79,1.545,65,7,0,0,0,0,0,18,193,6,0,0,0,0,0,26,136,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,87,31,2,1,1,0,1,7,193,23,0,0,0,0,0,29,157,2,0,0,0,0,0,17,0,0,0,0,0,4,0,0,83,7,0,0,0,0,4,22,193,23,0,0,0,0,0,20,155,10,0,0,0,0,0,7,0,0,0,0,0,3,0,0,52,14,1,0,3,2,3,5,193,48,0,0,0,0,0,12,121,11,0,0,0,0,0,7,0,0,0,0,1,1,0,0
195.73,41.28,6.35,1.458,52,12,0,0,12,4,0,2,184,96,0,0,0,0,0,0,84,23,0,0,0,0,3,2,0,0,0,0,0,2,8,0,42,6,1,15,15,2,1,1,184,49,0,0,0,0,0,12,182,13,0,0,0,0,2,17,0,0,0,0,0,1,9,1,33,3,0,4,16,8,2,10,184,18,0,0,0,0,0,53,184,3,0,0,0,0,2,21,0,0,0,0,0,1,8,1,28,4,1,0,1,1,5,34,184,59,0,0,0,0,0,78,121,24,0,0,0,0,1,18,0,0,0,0,0,0,5,0
196.5,150.37,9.14,1.441,60,15,1,1,2,6,13,10,171,86,0,0,0,0,1,1,94,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,59,17,4,1,0,0,5,171,39,2,1,0,0,0,32,171,16,0,0,0,0,0,5,1,0,0,0,0,0,0,0,102,15,2,0,0,0,1,30,171,28,0,0,0,0,0,33,168,36,0,0,0,0,0,2,5,2,0,0,0,0,0,1,83,3,0,0,0,0,0,19,171,66,0,0,0,0,0,5,168,34,0,0,0,0,0,1,7,0,0,0,0,0,0,2
198.02,23.67,1.93,1.87,72,9,0,0,1,2,0,4,154,45,0,0,0,0,0,54,108,12,0,0,0,0,0,27,0,0,0,0,0,0,1,0,66,5,0,0,6,1,2,21,154,37,0,0,0,0,0,42,154,21,0,0,0,0,0,10,1,1,0,0,0,0,1,1,28,0,0,0,1,0,30,154,154,13,0,0,0,0,47,154,100,71,0,0,0,0,7,22,11,9,0,0,0,0,0,2,154,0,0,0,0,0,8,140,48,0,0,0,0,9,60,115,18,4,0,0,0,4,23,48,7,0,0,0,0,0,1,10
198.24,24.35,1.71,1.845,80,20,0,0,0,0,0,3,154,102,0,0,0,0,0,22,80,21,0,0,0,0,0,7,0,0,0,0,0,0,1,0,71,5,0,0,0,0,3,24,154,32,0,0,0,0,0,51,135,25,2,0,0,0,0,11,0,2,0,0,0,0,1,1,25,0,0,0,0,0,46,154,154,33,1,0,0,3,72,154,63,103,14,0,0,2,15,19,13,16,1,0,0,0,0,4,154,9,0,0,0,0,18,146,33,1,0,0,6,20,68,86,15,5,0,0,2,11,26,53,9,1,0,0,0,0,0,15
199.1,179.61,4.67,1.523,111,4,0,0,0,3,16,89,157,83,0,0,0,0,2,80,41,35,12,0,0,0,0,2,0,4,11,0,0,0,0,0,157,4,0,0,0,0,0,43,157,86,0,0,0,0,0,48,98,38,15,0,0,3,16,30,7,7,13,0,0,1,14,11,149,19,3,0,0,0,0,47,157,50,1,0,0,0,0,22,126,39,9,0,0,0,5,15,9,3,1,0,0,0,6,8,46,72,49,0,0,2,6,7,157,82,11,0,0,0,0,44,90,10,0,0,0,0,2,42,7,0,0,0,0,0,0,6
199.44,22.17,1.29,1.778,121,36,0,0,0,0,0,8,159,145,0,0,0,0,0,34,24,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,64,45,0,0,0,0,0,1,159,153,0,0,0,0,0,24,118,22,0,0,0,0,0,11,1,0,0,0,0,1,1,0,61,4,0,0,0,0,1,19,159,21,1,0,0,0,0,23,122,29,11,0,0,0,0,4,0,5,2,0,0,0,1,0,16,0,0,0,0,0,23,113,159,43,10,0,0,6,61,130,31,95,66,0,0,5,33,8,15,41,19,0,0,0,2,9
199.81,14.43,3.27,1.68,16,6,0,2,9,0,0,0,166,4,0,0,0,0,0,13,101,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,48,13,1,5,18,2,0,5,166,12,0,0,0,0,0,105,166,2,0,0,0,0,2,51,0,0,0,0,0,2,6,0,48,11,0,0,11,30,4,4,166,107,0,0,0,1,0,26,166,51,0,0,0,0,0,8,1,0,0,0,0,1,3,0,31,7,5,3,7,8,1,25,166,20,0,0,0,0,0,166,121,29,0,0,0,0,0,54,5,1,0,0,0,0,2,2
199.91,43.13,2.59,1.555,38,5,4,8,8,2,0,18,179,11,0,0,0,0,1,157,81,14,0,0,0,0,11,97,13,2,0,0,0,0,1,14,98,7,4,3,0,0,0,4,179,19,0,0,0,0,0,30,135,2,0,0,0,0,3,35,3,0,0,0,0,0,1,10,109,3,0,0,3,0,0,4,179,17,0,0,0,0,0,13,156,5,0,0,0,0,0,10,2,0,0,0,0,0,0,3,82,3,0,0,2,3,1,9,179,2,0,0,0,0,0,59,104,0,0,0,0,0,0,20,1,0,0,0,0,0,1,2
200.65,33.16,2.03,1.265,23,107,1,0,0,2,0,0,131,139,3,0,0,0,0,3,37,101,33,0,0,0,0,5,14,16,5,0,0,0,0,1,39,7,0,0,8,12,1,22,139,57,0,0,0,0,0,126,103,38,5,0,0,0,20,103,36,4,0,0,0,0,3,17,49,20,1,6,11,1,0,7,139,139,0,0,0,0,0,35,139,96,0,0,0,0,8,22,16,0,0,0,0,0,2,11,20,15,1,5,0,0,0,0,139,97,0,0,0,0,0,0,139,102,0,0,0,0,0,0,20,6,0,0,0,0,0,1
200.84,124.57,1.16,1.58,33,131,28,1,0,0,0,0,151,169,5,0,0,0,0,0,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26,4,14,6,0,0,0,169,106,1,1,0,0,0,6,136,16,0,0,0,0,0,2,0,1,0,0,0,0,0,0,54,2,1,13,17,0,0,12,169,8,0,0,0,0,0,47,147,2,0,0,0,0,0,10,0,1,0,0,0,0,0,0,57,1,5,7,2,0,0,76,169,0,0,0,0,0,0,169,55,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1
201.03,236.47,1.82,1.634,153,38,0,0,0,2,2,22,159,94,0,0,0,0,0,21,34,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,60,2,5,6,2,0,1,159,129,0,0,0,0,0,3,101,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,3,1,5,9,1,1,75,159,4,0,0,0,0,0,129,102,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,72,0,0,0,2,3,3,159,105,0,0,0,0,0,0,159,21,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
201.45,383.78,15.63,1.636,44,3,1,2,1,1,5,15,164,6,0,0,0,0,0,52,164,6,0,0,0,0,0,18,3,0,0,0,0,1,0,0,72,18,1,6,8,1,0,3,164,32,0,0,0,0,0,56,155,6,0,0,0,0,0,42,1,0,0,0,0,1,0,0,60,4,0,4,12,2,1,24,164,62,0,0,0,0,0,97,161,25,0,0,0,0,0,22,1,0,0,0,0,1,0,0,100,11,1,6,5,0,0,22,164,4,0,0,0,0,0,153,58,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
201.5,41.66,1.2,1.451,78,71,0,0,0,0,0,4,153,153,0,0,0,0,0,7,72,44,0,0,3,4,0,2,4,0,0,0,2,5,4,7,108,19,0,0,0,0,0,8,153,36,0,0,0,0,0,80,148,10,0,0,2,2,0,30,7,0,0,0,1,2,0,4,110,15,0,0,0,0,0,8,153,100,0,0,0,0,0,14,149,38,0,0,1,1,0,5,7,0,0,0,1,1,0,2,61,11,0,0,0,0,0,3,153,71,0,0,0,0,0,0,153,48,0,0,0,0,0,0,8,1,0,0,0,0,0,0
