Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
97.98,205.87,50.23,-0.892,0,0,0,0,0,0,0,0,0,0,4,5,1,2,0,0,64,4,4,5,3,8,6,52,53,8,15,65,26,11,4,30,0,0,8,2,0,0,0,0,20,17,114,78,1,1,0,1,125,52,48,32,15,7,3,40,22,1,4,100,89,21,2,13,2,13,70,4,0,0,0,0,125,56,125,38,0,0,0,62,125,31,15,64,31,0,0,106,12,21,70,125,81,26,0,0,3,5,9,0,0,0,0,0,125,41,11,0,0,0,0,16,113,36,57,105,63,3,0,39,0,14,89,83,79,35,1,0
419.59,307.25,38.35,0.496,55,96,93,11,8,3,9,14,17,99,118,13,6,21,28,11,11,67,104,7,0,2,47,27,0,28,49,26,4,8,28,3,106,22,31,65,42,2,0,6,118,78,53,38,33,3,0,72,50,48,62,99,47,3,0,36,19,118,83,29,9,2,0,4,39,14,17,97,11,0,0,6,118,78,42,74,4,0,0,29,40,22,71,118,26,0,3,35,90,35,17,25,5,0,3,57,2,0,0,0,0,0,0,1,21,1,4,20,3,0,0,10,12,2,7,29,5,13,36,104,22,7,11,8,6,47,31,29
365.73,214.72,30.41,1.751,4,4,4,0,0,3,66,72,7,4,7,14,0,7,97,91,110,25,5,4,5,21,25,91,16,3,0,2,45,114,23,9,11,96,77,3,0,2,15,21,24,44,67,78,2,6,20,17,114,85,17,15,7,2,3,14,34,18,12,40,111,30,2,2,14,36,15,0,0,10,114,114,16,15,12,11,2,59,114,72,114,28,3,3,1,10,41,101,40,20,1,5,43,105,9,14,11,102,44,0,0,2,16,24,7,61,86,15,2,15,20,8,39,32,28,9,0,4,8,26,55,36,3,0,21,22,0,10
365.73,214.72,30.41,0.084,24,3,14,7,3,7,57,101,4,4,32,22,10,28,100,53,10,12,56,42,1,0,14,86,0,18,54,40,8,2,6,6,18,57,113,51,6,5,7,25,6,20,113,110,16,16,7,2,56,90,113,27,5,5,1,13,6,18,37,30,49,17,1,4,69,102,13,8,8,21,0,3,24,20,22,43,62,92,3,5,113,97,14,18,13,10,2,40,15,12,6,79,95,19,2,9,59,91,6,4,3,0,0,3,12,23,11,80,95,5,0,1,99,113,14,33,23,0,0,8,18,28,9,76,63,0,0,2
242.05,492.58,29.99,1.567,13,55,118,40,2,5,5,2,115,45,36,12,1,0,0,37,56,59,34,11,13,11,0,19,8,25,11,7,83,68,10,3,37,21,30,9,1,18,113,43,118,29,7,6,7,4,21,65,69,30,20,39,41,13,1,6,69,25,3,3,100,40,6,7,12,18,44,7,0,6,61,28,81,45,22,20,9,3,13,27,102,42,28,89,41,18,4,14,118,26,4,3,60,85,17,48,13,31,31,18,14,3,5,8,19,107,73,14,12,3,0,1,100,70,9,2,14,27,16,52,118,29,19,60,69,12,8,73
356.1,413.82,25.68,1.894,16,81,86,2,8,10,41,38,45,97,41,7,4,20,79,49,6,10,19,21,19,92,73,29,35,38,10,8,1,3,19,66,33,70,46,1,11,52,62,19,68,113,113,28,6,9,9,6,67,86,113,46,6,2,2,20,35,31,14,18,3,0,12,90,10,1,0,22,25,41,93,39,13,8,19,8,12,113,107,22,113,18,13,3,3,31,36,113,56,2,17,26,20,4,8,86,33,26,29,11,7,3,31,31,9,20,44,12,3,44,66,14,71,18,10,7,1,12,39,77,27,6,26,39,34,10,0,18
356.1,413.82,25.68,-2.833,30,12,10,3,25,31,37,26,0,25,27,37,90,43,13,1,40,2,14,58,70,21,30,60,95,2,6,9,34,34,17,86,53,13,3,35,59,14,11,23,12,6,10,113,113,24,10,5,113,29,7,14,13,7,61,113,49,9,4,17,62,42,49,109,12,9,1,10,38,67,65,21,8,3,3,37,44,113,113,13,113,43,5,3,2,23,84,89,28,26,19,76,61,24,5,14,31,45,29,9,0,16,28,8,14,26,26,6,5,77,65,2,14,17,2,0,12,105,35,26,12,10,2,2,16,53,32,43
154.38,599.45,23.41,1.379,25,12,4,28,18,22,1,1,83,50,8,36,20,13,1,2,81,29,0,0,57,116,9,9,19,8,1,1,27,72,6,10,12,22,10,39,28,18,2,6,101,71,7,40,36,52,4,10,130,80,0,0,48,90,10,37,10,1,5,14,130,114,5,7,5,57,67,6,2,15,3,4,70,57,8,0,5,82,25,38,130,71,48,35,59,10,7,63,5,4,22,110,130,11,0,1,16,59,29,2,5,0,0,1,63,90,9,0,0,2,2,9,30,50,61,18,7,9,5,13,3,3,17,39,96,29,1,3
104.28,639.64,23.87,1.317,44,48,8,44,27,8,0,0,124,80,1,1,23,109,12,9,21,4,1,1,41,139,14,11,11,2,1,0,1,2,0,4,35,29,4,17,25,76,12,10,139,83,3,4,30,43,10,48,41,6,9,45,139,101,3,8,0,1,23,53,42,2,0,0,19,94,21,0,0,31,13,11,139,100,75,21,11,9,9,34,16,23,63,128,139,19,0,2,0,0,4,35,100,42,8,0,57,59,5,0,0,0,0,4,43,23,19,2,0,9,8,17,10,3,12,9,42,32,3,9,0,0,0,0,20,25,5,0
104.28,639.64,23.87,-1.862,18,25,5,0,0,0,0,0,36,33,4,10,11,3,14,8,0,8,8,16,46,27,21,2,0,0,0,3,49,69,8,0,101,47,10,0,0,0,2,29,139,23,0,2,16,22,64,118,12,9,10,31,139,99,76,21,0,35,16,11,17,86,24,0,44,2,0,0,0,1,20,54,139,110,3,6,36,6,9,42,32,49,10,37,139,96,3,4,27,70,13,8,40,36,4,19,1,1,0,2,9,2,2,1,33,139,16,11,21,4,1,1,22,127,16,8,105,77,1,0,25,8,0,1,49,58,8,36
